id,title,title_en,prompt_zh,prompt_en,reference_note,author
11,PS2 游戏封面 (GTA x Shrek),PS2 Game Cover (GTA x Shrek),你能制作一个PS2游戏封面的图像吗？标题为《Grand Theft Auto: Far Far Away》。是一个设定在《怪物史瑞克》宇宙中的GTA风格游戏。,"Can you create a PS2 video game case of ""Grand Theft Auto: Far Far Away"" a GTA based in the Shrek Universe.",,@dotey
12,3D 情侣珠宝盒摆件,3D Couple Jewelry Box Figurine,"根据照片上的内容打造一款细致精美、萌趣可爱的3D渲染收藏摆件，装置在柔和粉彩色调、温馨浪漫的展示盒中。展示盒为浅奶油色搭配柔和的金色装饰，形似精致的便携珠宝盒。打开盒盖，呈现出一幕温暖浪漫的场景：两位Q版角色正甜蜜相望。盒顶雕刻着“FOREVER TOGETHER”（永远在一起）的字样，周围点缀着小巧精致的星星与爱心图案。
盒内站着照片上的女性，手中捧着一束小巧的白色花束。她的身旁是她的伴侣，照片上的男性。两人都拥有大而闪亮、充满表现力的眼睛，以及柔和、温暖的微笑，传递出浓浓的爱意和迷人的气质。
他们身后有一扇圆形窗户，透过窗户能看到阳光明媚的中国古典小镇天际线和轻柔飘浮的云朵。盒内以温暖的柔和光线进行照明，背景中漂浮着花瓣点缀气氛。整个展示盒和角色的色调优雅和谐，营造出一个奢华而梦幻的迷你纪念品场景。
尺寸：9:16","Create a finely crafted, adorably charming 3D-rendered collectible figure based on the subjects in the photo, displayed inside a pastel-toned, warm and romantic presentation box. The box is designed in a soft cream color with gentle gold accents, resembling an elegant portable jewelry case.

When opened, the box reveals a heartwarming romantic scene: two chibi-style characters gazing sweetly at each other. The lid is engraved with the words “FOREVER TOGETHER,” surrounded by delicate star and heart motifs.

Inside the box stands the female from the photo, holding a small bouquet of white flowers. Beside her is her partner, the male from the photo. Both characters have large, expressive, sparkling eyes and soft, warm smiles that radiate affection and charm.

Behind them is a round window, through which a sunny skyline of a traditional Chinese town can be seen, along with gently drifting clouds. The interior is softly lit with warm ambient lighting, and petals float in the background to enhance the atmosphere.

The overall color scheme of both the display box and the characters is elegant and harmonious, creating a luxurious and dreamlike miniature keepsake.

Aspect ratio: 9:16",一张情侣照片。,@dotey
13,3D Q版风格,Photo to 3D Q-version Style,将场景中的角色转化为3D Q版风格，同时保持原本的场景布置和服装造型不变。,"Transform the characters in the scene into 3D chibi-style figures, while keeping the original scene layout and their clothing exactly the same.",一张照片。,@dotey
14,《海贼王》主题手办制作,One Piece Themed Figure Creation,把照片中的人物变成《海贼王》（One Piece）动漫主题手办包装盒的风格，以等距视角（isometric）呈现。包装盒内展示的是基于照片人物的《海贼王》动漫画风设计的形象，旁边搭配有日常必备物品（手枪、手表、西装和皮鞋）同时，在包装盒旁边还应呈现该手办本体的实物效果，采用逼真的、具有真实感的渲染风格。,"Transform the person in the photo into a One Piece-themed anime-style action figure, presented inside a collectible figure box designed in the visual style of the One Piece universe. The box is shown in an isometric view.
Inside the box, display the character reimagined in the One Piece anime art style, posed dynamically and accompanied by essential everyday items such as a pistol, a wristwatch, a suit, and leather shoes — all miniaturized and arranged like collectible accessories.
Next to the box, include a realistic, fully rendered version of the actual figure itself, outside of the packaging. This figure should be rendered with high detail and realism, showcasing the material textures and craftsmanship, as if it were a professionally photographed product.",一张半身或者全身照片。,@dotey
15,讽刺海报生成,Satirical Poster Generation,为我生成讽刺海报：GPT 4o 狂卷，都别干图像AI了 还是送外卖吧,"Satirical Poster Text (English):
GPT-4o is taking over.
Forget working in image AI
maybe it’s time to deliver takeout instead.",,@ZHO_ZHO_ZHO
16,二次元风格徽章,Anime-style Badge,"基于附件中的人物，生成一个二次元风格的徽章的照片，要求：
材质：流苏
形状：圆形
画面主体：一只手手持徽章","Based on the person in the attachment, generate a photo of an anime-style badge. Requirements:
Material: Tassel
Shape: Circular
Main subject: A hand holding the badge",需要上传一张人物照片作为徽章图案的参考。,@Alittlefatwhale
17,复古CRT电脑启动屏幕,Retro CRT Computer Boot Screen,复古CRT电脑启动屏幕，最终显示为[形状或标志]的ASCII艺术。,Retro CRT computer boot screen that resolves into ASCII-art of [shape or logo],,@Gdgtify
18,皮克斯3D风格,Pixar 3D Style,以皮克斯 3D 风格重绘这张照片,Redraw this photo in Pixar 3D style,一张人物或者其他照片。,AnimeAI
19,玩具盒中的国家立体模型,Country Diorama in a Toy Box,一张超写实的俯拍摄影作品，展示了一个米色纸板盒内的3D打印立体模型，盒盖由两只人手撑开。盒子内部展现了[国家名称]的微缩景观，包含标志性地标、地形、建筑、河流、植被以及大量微小精细的人物模型。该立体模型充满了鲜活且符合地理特征的元素，全部采用触感舒适、玩具般的风格，使用哑光3D打印纹理制作，并带有可见的打印层纹。在顶部，盒盖内侧用大号、色彩鲜艳的凸起塑料字母显示“[国家名称]”字样——每个字母颜色各异，均为亮色。光线温暖且具有电影感，突出了纹理和阴影，营造出一种真实感和魅力，仿佛观看者正在打开一个神奇的国家微缩版本。,"An ultra-realistic top-down photograph of a 3D-printed diorama inside a beige cardboard box, with the lid being held open by two human hands. The interior of the box reveals a miniature landscape of [COUNTRY NAME], featuring iconic landmarks, terrain, buildings, rivers, vegetation, and crowds of tiny, detailed human figures. The diorama is filled with vibrant, geographically appropriate elements, all crafted in a tactile, toy-like style using matte 3D-printed textures with visible layer lines. At the top, the inside of the box lid displays the phrase “[COUNTRY NAME]” in large, colorful, raised plastic letters—each letter in a different bright color. The lighting is warm and cinematic, highlighting the textures and shadows to evoke a sense of realism and charm, as if the viewer is opening a magical miniature version of the nation",,@TheRelianceAI
20,手办与真人同框,Action Figure and Real Person in the Same Frame,以手机随手拍摄的日常风格，桌面上摆放着一款 【成龙】动漫手办，动作夸张帅气，装备齐全。同时，真实世界的对应人物也出现在镜头中，与手办摆出相似的姿势，形成手办与真实人物同框的有趣对比效果。整体构图和谐自然，传递温暖且富有生活气息的视觉体验。,"In a casual, everyday style as if shot on a mobile phone, an anime figure of [Jackie Chan] is placed on a desk, striking an exaggerated and cool pose, fully equipped. Simultaneously, the corresponding real-life person also appears in the frame, striking a similar pose to the figure, creating an interesting visual contrast with the figure and the real person in the same frame. The overall composition is harmonious and natural, delivering a warm and vibrant, true-to-life visual experience.",,@dotey
21,Q版角色表情包,Chibi Character Sticker Pack,"请创作一套以 [参考图片中的角色] 为主角的Q版表情包，共9个，排列成3x3网格。
设计要求：
- 透明背景。
- 1:1正方形构图。
- 统一的Q版吉卜力卡通风格，色彩鲜艳。
- 每个表情的动作、神态、内容各不相同，需要体现“骚、贱、萌、抓狂”等多样情绪，例如：翻白眼、捶地狂笑、灵魂出窍、原地石化、撒钱、干饭状态、社交恐惧发作等。可融入打工人和网络热梗元素。
- 每个表情形象完整，无残缺。
- 每个表情均带有统一的白色描边，呈现贴纸效果。
- 画面中无多余、分离的元素。
- 严格禁止出现任何文字，或确保文字内容准确无误（优先选择无文字）。","Please create a set of 9 Chibi stickers featuring [the character in the reference image], arranged in a 3x3 grid.
Design requirements:
- Transparent background.
- 1:1 square aspect ratio.
- Consistent Chibi Ghibli cartoon style with vibrant colors.
- Each sticker must have a unique action, expression, and theme, reflecting diverse emotions like ""sassy, mischievous, cute, frantic"" (e.g., rolling eyes, laughing hysterically on the floor, soul leaving body, petrified, throwing money, foodie mode, social anxiety attack). Incorporate elements related to office workers and internet memes.
- Each character depiction must be complete, with no missing parts.
- Each sticker must have a uniform white outline, giving it a sticker-like appearance.
- No extraneous or detached elements in the image.
- Strictly no text, or ensure any text is 100% accurate (no text preferred).",需要上传一张角色图片作为表情包创作的主要参考。,@leon_yuan2001
22,小红书封面,Xiaohongshu Cover Image,"画图：画一个小红书封面。
要求：
有足够的吸引力吸引用户点击；
字体醒目，选择有个性的字体；
文字大小按重要度分级，体现文案的逻辑结构；
标题是普通文字的至少2倍；
文字段落之间留白。
只对要强调的文字用醒目色吸引用户注意；
背景使用吸引眼球的图案（包括不限于纸张，记事本，微信聊天窗口，选择一种）
使用合适的图标或图片增加视觉层次，但要减少干扰。

文案：重磅！ChatGPT又变强了！
多任务处理更牛✨
编程能力更强💪
创造力爆表🎨
快来试试！

图像9:16比例","Draw an image: Create a cover for a Xiaohongshu (RED) post.

Requirements:
– It must be visually compelling enough to attract user clicks.
– Use bold, characterful fonts.
– Vary font sizes to reflect the hierarchy of information; emphasize the structure of the copy.
– The main title should be at least twice the size of regular text.
– Leave white space between text sections.
– Only use bright accent colors to highlight key words and draw attention.
– The background should feature an eye-catching pattern (such as paper texture, notebook, or a WeChat chat window—choose one).
– Add appropriate icons or illustrations to enhance visual layers, but avoid visual clutter.

Copy text:
BREAKING: ChatGPT just got even better!
– Superior multitasking ✨
– Stronger coding ability 💪
– Creativity off the charts 🎨
Try it now!

Image aspect ratio: 9:16",,@balconychy
23,《泰坦尼克号》模仿,"'""Titanic"" Pose Parody'","将附图中的人物转换成可爱Q版3D造型
场景：在豪华游轮最顶尖的船头，船头是尖的。
男士带着女士站在泰坦尼克号船头，男士双手搂着女士的腰，女士双臂伸展穿着连衣裙，迎着风，脸上洋溢着自由与畅快。
此时天色呈现出黄昏的暖色调，大海在船下延展。
除了人物用Q版3D造型以外，其他环境都是实物。","Transform the person in the attached image into a cute chibi-style 3D character.
Scene: On the pointed bow of a luxurious cruise ship.
The man stands behind the woman at the bow, holding her waist with both hands. The woman is wearing a dress, arms spread wide, facing the wind, with a joyful and liberated expression on her face—just like the iconic scene from Titanic.
The sky is painted in warm sunset tones, and the vast ocean stretches beneath the ship.
Only the characters should be in chibi 3D style; the rest of the environment should be realistic.",一张情侣照片。,@balconychy
24,Funko Pop 公仔制作,Funko Pop Figure Creation,把照片中的人物变成 Funko Pop 公仔包装盒的风格，以等距视角（isometric）呈现，并在包装盒上标注标题为“JAMES BOND”。包装盒内展示的是照片中人物形象，旁边搭配有人物的必备物品（手枪、手表、西装、其他）同时，在包装盒旁边还应呈现该公仔本体的实物效果，采用逼真的、具有真实感的渲染风格。,"Transform the person in the photo into the style of a Funko Pop figure box, presented in isometric view.
The packaging is labeled with the title “JAMES BOND.”
Inside the box, display a chibi-style figure based on the person in the photo, along with their essential accessories: a pistol, a wristwatch, a suit, and other signature items.
Next to the box, show a realistic rendering of the actual figure outside the packaging, with detailed textures and lighting to achieve a lifelike product display.",一张半身或者全身清晰照片。,@dotey
25,极简主义 3D 插画,Minimalist 3D Illustration,"使用以下 JSON 配置文件生成一个马桶：
{
  ""art_style_profile"": {
    ""style_name"": ""Minimalist 3D Illustration"",
    ""visual_elements"": {
      ""shape_language"": ""Rounded edges, smooth and soft forms with simplified geometry"",
      ""colors"": {
        ""primary_palette"": [""Soft beige, light gray, warm orange""],
        ""accent_colors"": [""Warm orange for focal elements""],
        ""shading"": ""Soft gradients with smooth transitions, avoiding harsh shadows or highlights""
      },
      ""lighting"": {
        ""type"": ""Soft, diffused lighting"",
        ""source_direction"": ""Above and slightly to the right"",
        ""shadow_style"": ""Subtle and diffused, no sharp or high-contrast shadows""
      },
      ""materials"": {
        ""surface_texture"": ""Matte, smooth surfaces with subtle shading"",
        ""reflectivity"": ""Low to none, avoiding glossiness""
      },
      ""composition"": {
        ""object_presentation"": ""Single, central object displayed in isolation with ample negative space"",
        ""perspective"": ""Slightly angled, giving a three-dimensional feel without extreme depth"",
        ""background"": ""Solid, muted color that complements the object without distraction""
      },
      ""typography"": {
        ""font_style"": ""Minimalistic, sans-serif"",
        ""text_placement"": ""Bottom-left corner with small, subtle text"",
        ""color"": ""Gray, low-contrast against the background""
      },
      ""rendering_style"": {
        ""technique"": ""3D render with simplified, low-poly aesthetics"",
        ""detail_level"": ""Medium detail, focusing on form and color over texture or intricacy""
      }
    },
    ""purpose"": ""To create clean, aesthetically pleasing visuals that emphasize simplicity, approachability, and modernity.""
  }
}","Generate a toilet with the following JSON profile:
{
  ""art_style_profile"": {
    ""style_name"": ""Minimalist 3D Illustration"",
    ""visual_elements"": {
      ""shape_language"": ""Rounded edges, smooth and soft forms with simplified geometry"",
      ""colors"": {
        ""primary_palette"": [""Soft beige, light gray, warm orange""],
        ""accent_colors"": [""Warm orange for focal elements""],
        ""shading"": ""Soft gradients with smooth transitions, avoiding harsh shadows or highlights""
      },
      ""lighting"": {
        ""type"": ""Soft, diffused lighting"",
        ""source_direction"": ""Above and slightly to the right"",
        ""shadow_style"": ""Subtle and diffused, no sharp or high-contrast shadows""
      },
      ""materials"": {
        ""surface_texture"": ""Matte, smooth surfaces with subtle shading"",
        ""reflectivity"": ""Low to none, avoiding glossiness""
      },
      ""composition"": {
        ""object_presentation"": ""Single, central object displayed in isolation with ample negative space"",
        ""perspective"": ""Slightly angled, giving a three-dimensional feel without extreme depth"",
        ""background"": ""Solid, muted color that complements the object without distraction""
      },
      ""typography"": {
        ""font_style"": ""Minimalistic, sans-serif"",
        ""text_placement"": ""Bottom-left corner with small, subtle text"",
        ""color"": ""Gray, low-contrast against the background""
      },
      ""rendering_style"": {
        ""technique"": ""3D render with simplified, low-poly aesthetics"",
        ""detail_level"": ""Medium detail, focusing on form and color over texture or intricacy""
      }
    },
    ""purpose"": ""To create clean, aesthetically pleasing visuals that emphasize simplicity, approachability, and modernity.""
  }
}",,@0xdlk
26,名画人物麦片广告,Famous Painting Character Cereal Ad,《大师麦片》：根据我上传的照片的人物特征判断，为他生成一个符合他特质的燕麦片搭配（比如蔬菜、水果、酸奶、粗粮等等）和包装设计，然后生成他作为麦片包装盒封面人物 加 相应麦片搭配的广告封面，人物要保持特征、可爱Q版3d、c4d渲染风格，麦片所放置的地方的风格也要符合设定，比如放在厨房、超市 极简主义的设计台上等等，先做好设定，再生成图像。,"“Master Oats”: Based on the visual features of the person in the uploaded photo, generate a custom oatmeal mix that reflects their personality traits — for example, using vegetables, fruits, yogurt, whole grains, etc.

Design a unique cereal box and package aesthetic that aligns with this tailored mix.

Then, create an advertising cover featuring the person as the mascot on the cereal box. The character should retain their recognizable features but be transformed into a cute chibi-style 3D figure with a C4D-quality rendering.

The oatmeal and packaging should be presented in a setting that matches the mood — such as a minimalist kitchen, a sleek supermarket display, or a clean design counter.

The process includes:
– Character analysis and oat mix pairing
– Cereal box concept and design
– Display environment selection
– Final image with mascot figure, packaging, and styled scene composition

All visuals should be balanced, modern, and appealing, reflecting a premium and fun oat brand identity.",[《戴珍珠耳环的少女》图片](https://commons.wikimedia.org/w/index.php?curid=55017931)。,@ZHO_ZHO_ZHO
27,Q 版表情包制作,Q-version Emoji Sticker Pack Creation,"创作一套全新的 chibi sticker，共六个独特姿势，以用户形象为主角：
1. 双手比出剪刀手，俏皮地眨眼；
2. 泪眼汪汪、嘴唇微微颤动，呈现可爱哭泣的表情；
3. 张开双臂，做出热情的大大拥抱姿势；
4. 侧卧入睡，靠着迷你枕头，带着甜甜的微笑；
5. 自信满满地向前方伸手指，周围点缀闪亮特效；
6. 手势飞吻，周围飘散出爱心表情。
保留 chibi 美学风格：夸张有神的大眼睛、柔和的面部线条、活泼俏皮的短款黑色发型、配以大胆领口设计的白色服饰，背景使用充满活力的红色，并搭配星星或彩色纸屑元素进行装饰。周边适当留白。
Aspect ratio: 9:16","Create a brand-new set of chibi-style stickers featuring the user as the main character, with six unique poses:
  1.	Making a playful peace sign with both hands and winking.
  2.	Tearful eyes and slightly trembling lips, showing a cute crying expression.
  3.	Arms wide open in a warm, enthusiastic hug pose.
  4.	Lying on their side asleep, resting on a tiny pillow with a sweet smile.
  5.	Pointing forward with confidence, surrounded by shining visual effects.
  6.	Blowing a kiss, with heart symbols floating around.
Maintain the chibi aesthetic:
– Exaggerated, expressive big eyes
– Soft facial lines
– Playful, short black hairstyle
– A white outfit with a bold neckline design
Background: Vibrant red with star or colorful confetti elements for decoration. Leave some clean white space around each sticker.
Aspect ratio: 9:16",一张清晰头像照片。,@dotey
28,扁平贴纸设计,Flat Sticker Design,把这张照片设计成一个极简扁平插画风格的Q版贴纸，厚白边，保留人物特征，风格要可爱一些，人物要超出圆形区域边框，圆形区域要为纯色不要3d感，透明背景。,"Turn this photo into a chibi-style sticker illustration in a minimalist flat design.
– Keep the character’s recognizable features
– Use a cute, simplified aesthetic
– The sticker should have a thick white border
– The character should break out of the circular frame, adding a playful touch
– The circular base should be a solid flat color (no 3D or gradients)
– Background should be transparent
The overall style should be clean, modern, and visually appealing for use as a fun Q-version sticker.",一张清晰头像照片。,@ZHO_ZHO_ZHO
29,名画人物 OOTD,Famous Painting Character OOTD,"为图片人物生成不同职业风的OOTD，时尚穿搭和配饰，和人物色系一致的纯色背景，Q版 3d，c4d渲染，保持人脸特征，姿势都要保持一致，人物的比例腿很修长

构图：9:16
顶部文字：OOTD，左侧为人物ootd q版形象，右侧为穿搭的单件展示

先来第一个职业：时尚设计师","Generate a Q-style 3D C4D-rendered character based on the person in the photo, dressed in a fashion-forward “outfit of the day” (OOTD) inspired by a specific profession.
Profession: Fashion Designer
– Keep the original facial features and character pose
– Stylize the character with a cute, long-legged chibi proportion
– Outfit and accessories should reflect the profession, including trendy designer wear, glasses, sketchbook or tablet, and stylish shoes
– Match the outfit with fashion accessories to complete the look
– Use a solid background color that complements the character’s overall color palette (no gradients or textures)

Composition: Aspect ratio: 9:16
Top text: “OOTD”
Left side: the full-body chibi character wearing the complete outfit
Right side: individual clothing items and accessories laid out separately, as if in a style breakdown",[《戴珍珠耳环的少女》图片](https://commons.wikimedia.org/w/index.php?curid=55017931)。,@ZHO_ZHO_ZHO
30,35mm 胶片风格飞岛,35mm Film Style Flying Island,35 毫米胶片风格的照片：莫斯科漂浮在天空中的飞行岛屿上。,35 mm photo of Moscow floating in the sky on a flying islands.,,@dotey
31,动漫贴纸集合,Anime Sticker Collection,火影忍者贴纸,Naruto stickers,,@richardchang
