name,title,dataset_id,backends,tags,metrics,subsets,description
arc,ARC,allenai/ai2_arc,EvalScope,Reasoning|MCQ,acc,ARC-Easy|ARC-Challenge,"The ARC (AI2 Reasoning Challenge) benchmark is designed to evaluate the reasoning capabilities of AI models through multiple-choice questions derived from science exams. It includes two subsets: ARC-Easy and ARC-Challenge, which vary in difficulty."
arena_hard,ArenaHard,AI-ModelScope/arena-hard-auto-v0.1,EvalScope,InstructionFollowing|Arena,winrate,default,"ArenaHard is a benchmark designed to evaluate the performance of large language models in a competitive setting, where models are pitted against each other in a series of tasks to determine their relative strengths and weaknesses. It includes a set of challenging tasks that require reasoning, understanding, and generation capabilities. Currently not support `style-controlled winrate`; the official Judge model is `gpt-4-1106-preview`, while the baseline model is `gpt-4-0314`."
bbh,BBH,evalscope/bbh,EvalScope,Reasoning,acc,temporal_sequences|disambiguation_qa|date_understanding|tracking_shuffled_objects_three_objects|penguins_in_a_table|geometric_shapes|snarks|ruin_names|tracking_shuffled_objects_seven_objects|tracking_shuffled_objects_five_objects|logical_deduction_three_objects|hyperbaton|logical_deduction_five_objects|logical_deduction_seven_objects|movie_recommendation|salient_translation_error_detection|reasoning_about_colored_objects|multistep_arithmetic_two|navigate|dyck_languages|word_sorting|sports_understanding|boolean_expressions|object_counting|formal_fallacies|causal_judgement|web_of_lies,"The BBH (Big Bench Hard) benchmark is a collection of challenging tasks designed to evaluate the reasoning capabilities of AI models. It includes both free-form and multiple-choice tasks, covering a wide range of reasoning skills."
bc2gm,BC2GM,extraordinarylab/bc2gm,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The BC2GM (BioCreative II Gene Mention) dataset is a widely used corpus for gene mention recognition, consisting of 20,000 sentences from MEDLINE abstracts where gene and protein names have been manually annotated."
bc4chemd,BC4CHEMD,extraordinarylab/bc4chemd,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The BC4CHEMD (BioCreative IV CHEMDNER) dataset is a corpus of 10,000 PubMed abstracts with 84,355 chemical entity mentions manually annotated by experts for chemical named entity recognition."
bc5cdr,BC5CDR,extraordinarylab/bc5cdr,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The BC5CDR corpus is a manually annotated resource of 1,500 PubMed articles developed for the BioCreative V challenge, containing over 4,400 chemical mentions, 5,800 disease mentions, and 3,100 chemical-disease interactions."
bfcl_v3,BFCL-v3,AI-ModelScope/bfcl_v3,EvalScope,FunctionCalling|Agent,acc,simple|multiple|parallel|parallel_multiple|java|javascript|live_simple|live_multiple|live_parallel|live_parallel_multiple|irrelevance|live_relevance|live_irrelevance|multi_turn_base|multi_turn_miss_func|multi_turn_miss_param|multi_turn_long_context,"Berkeley Function Calling Leaderboard (BFCL), the **first comprehensive and executable function call evaluation** dedicated to assessing Large Language Models' (LLMs) ability to invoke functions. Unlike previous evaluations, BFCL accounts for various forms of function calls, diverse scenarios, and executability. Need to run `pip install bfcl-eval==2025.10.27.1` before evaluating. [Usage Example](https://evalscope.readthedocs.io/en/latest/third_party/bfcl_v3.html)"
bfcl_v4,BFCL-v4,https://github.com/ShishirPatil/gorilla/tree/main/berkeley-function-call-leaderboard,EvalScope,FunctionCalling|Agent,acc,simple_python|simple_java|simple_javascript|multiple|parallel|parallel_multiple|irrelevance|live_simple|live_multiple|live_parallel|live_parallel_multiple|live_irrelevance|live_relevance|multi_turn_base|multi_turn_miss_func|multi_turn_miss_param|multi_turn_long_context|memory_kv|memory_vector|memory_rec_sum|web_search_base|web_search_no_snippet,"With function-calling being the building blocks of Agents, the Berkeley Function-Calling Leaderboard (BFCL) V4 presents a holistic agentic evaluation for LLMs. BFCL V4 Agentic includes web search, memory, and format sensitivity. Together, the ability to web search, read and write from memory, and the ability to invoke functions in different languages present the building blocks for the exciting and extremely challenging avenues that power agentic LLMs today from deep-research, to agents for coding and law. Need to run `pip install bfcl-eval==2025.10.27.1` before evaluating. [Usage Example](https://evalscope.readthedocs.io/en/latest/third_party/bfcl_v4.html)"
biomix_qa,BioMixQA,extraordinarylab/biomix-qa,EvalScope,Knowledge|MCQ|Medical,acc,default,BiomixQA is a curated biomedical question-answering dataset. BiomixQA has been utilized to validate the Knowledge Graph based Retrieval-Augmented Generation (KG-RAG) framework across different LLMs.
blink,BLINK,evalscope/BLINK,EvalScope,MultiModal|Knowledge|MCQ,acc,Art_Style|Counting|Forensic_Detection|Functional_Correspondence|IQ_Test|Jigsaw|Multi-view_Reasoning|Object_Localization|Relative_Depth|Relative_Reflectance|Semantic_Correspondence|Spatial_Relation|Visual_Correspondence|Visual_Similarity,"BLINK is a benchmark designed to evaluate the core visual perception abilities of multimodal large language models (MLLMs). It transforms 14 classic computer vision tasks into 3,807 multiple-choice questions, accompanied by single or multiple images and visual prompts."
broad_twitter_corpus,BroadTwitterCorpus,extraordinarylab/broad-twitter-corpus,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"BroadTwitterCorpus is a dataset of tweets collected over stratified times, places and social uses. The goal is to represent a broad range of activities, giving a dataset more representative of the language used in this hardest of social media formats to process."
bustm,,./data/FewCLUE/bustm/dev_few_all.json,OpenCompass,,,,
cc_bench,CCBench,lmms-lab/MMBench,EvalScope,MultiModal|Knowledge|MCQ,acc,cc,"CCBench is an extension of MMBench with newly design questions about Chinese traditional culture, including Calligraphy Painting, Cultural Relic, Food & Clothes, Historical Figures, Scenery & Building, Sketch Reasoning and Traditional Show."
ceval,C-Eval,evalscope/ceval,EvalScope|OpenCompass,Knowledge|MCQ|Chinese,acc,computer_network|operating_system|computer_architecture|college_programming|college_physics|college_chemistry|advanced_mathematics|probability_and_statistics|discrete_mathematics|electrical_engineer|metrology_engineer|high_school_mathematics|high_school_physics|high_school_chemistry|high_school_biology|middle_school_mathematics|middle_school_biology|middle_school_physics|middle_school_chemistry|veterinary_medicine|college_economics|business_administration|marxism|mao_zedong_thought|education_science|teacher_qualification|high_school_politics|high_school_geography|middle_school_politics|middle_school_geography|modern_chinese_history|ideological_and_moral_cultivation|logic|law|chinese_language_and_literature|art_studies|professional_tour_guide|legal_professional|high_school_chinese|high_school_history|middle_school_history|civil_servant|sports_science|plant_protection|basic_medicine|clinical_medicine|urban_and_rural_planner|accountant|fire_engineer|environmental_impact_assessment_engineer|tax_accountant|physician,"C-Eval is a benchmark designed to evaluate the performance of AI models on Chinese exams across various subjects, including STEM, social sciences, and humanities. It consists of multiple-choice questions that test knowledge and reasoning abilities in these areas."
chartqa,ChartQA,lmms-lab/ChartQA,EvalScope,MultiModal|Knowledge|QA,relaxed_acc,human_test|augmented_test,"ChartQA is a benchmark designed to evaluate question-answering capabilities about charts (e.g., bar charts, line graphs, pie charts), focusing on both visual and logical reasoning."
chid,,./data/FewCLUE/chid/dev_few_all.json,OpenCompass,,,,
chinese_simpleqa,Chinese-SimpleQA,AI-ModelScope/Chinese-SimpleQA,EvalScope,Knowledge|QA|Chinese,is_correct|is_incorrect|is_not_attempted,中华文化|人文与社会科学|工程、技术与应用科学|生活、艺术与文化|社会|自然与自然科学,Chinese SimpleQA is a Chinese question-answering dataset designed to evaluate the performance of language models on simple factual questions. It includes a variety of topics and is structured to test the model's ability to understand and generate correct answers in Chinese.
cluewsc,,./data/FewCLUE/cluewsc/dev_few_all.json,OpenCompass,,,,
cmb,,./data/CMB/,OpenCompass,,,,
cmmlu,C-MMLU,evalscope/cmmlu,EvalScope|OpenCompass,Knowledge|MCQ|Chinese,acc,agronomy|anatomy|ancient_chinese|arts|astronomy|business_ethics|chinese_civil_service_exam|chinese_driving_rule|chinese_food_culture|chinese_foreign_policy|chinese_history|chinese_literature|chinese_teacher_qualification|college_actuarial_science|college_education|college_engineering_hydrology|college_law|college_mathematics|college_medical_statistics|clinical_knowledge|college_medicine|computer_science|computer_security|conceptual_physics|construction_project_management|economics|education|elementary_chinese|elementary_commonsense|elementary_information_and_technology|electrical_engineering|elementary_mathematics|ethnology|food_science|genetics|global_facts|high_school_biology|high_school_chemistry|high_school_geography|high_school_mathematics|high_school_physics|high_school_politics|human_sexuality|international_law|journalism|jurisprudence|legal_and_moral_basis|logical|machine_learning|management|marketing|marxist_theory|modern_chinese|nutrition|philosophy|professional_accounting|professional_law|professional_medicine|professional_psychology|public_relations|security_study|sociology|sports_science|traditional_chinese_medicine|virology|world_history|world_religions,"C-MMLU is a benchmark designed to evaluate the performance of AI models on Chinese language tasks, including reading comprehension, text classification, and more."
cmmmu,CMMMU,lmms-lab/CMMMU,EvalScope,MultiModal|Knowledge|QA|Chinese,acc,设计|音乐|艺术|艺术理论|经济|会计|金融|管理|营销|物理|地理|化学|生物|数学|临床医学|公共卫生|基础医学|诊断学与实验室医学|制药|历史|心理学|文献学|社会学|计算机科学|电子学|机械工程|能源和电力|材料|建筑学|农业,"CMMMU includes manually collected multimodal questions from college exams, quizzes, and textbooks, covering six core disciplines: Art & Design, Business, Science, Health & Medicine, Humanities & Social Science, and Tech & Engineering, like its companion, MMMU. These questions span 30 subjects and comprise 39 highly heterogeneous image types, such as charts, diagrams, maps, tables, music sheets, and chemical structures."
cmmu,CMMU,evalscope/CMMU,EvalScope,Knowledge|QA|MCQ|MultiModal,acc,biology|chemistry|geography|history|math|physics|politics,"CMMU is a novel multi-modal benchmark designed to evaluate domain-specific knowledge across seven foundational subjects: math, biology, physics, chemistry, geography, politics, and history."
cmnli,,opencompass/cmnli-dev,OpenCompass,,,,
coin_flip,CoinFlip,extraordinarylab/coin-flip,EvalScope,Reasoning|Yes/No,accuracy|precision|recall|f1_score|yes_ratio,default,"CoinFlip is a symbolic reasoning dataset that tests an LLM's ability to track binary state changes through a sequence of actions. Each example describes whether a coin is flipped or not by different person, requiring logical inference to determine the final state (heads or tails)."
commonsense_qa,CommonsenseQA,extraordinarylab/commonsense-qa,EvalScope,Reasoning|Commonsense|MCQ,acc,default,CommonsenseQA requires different types of commonsense knowledge to predict the correct answers.
competition_math,Competition-MATH,evalscope/competition_math,EvalScope,Math|Reasoning,acc,Level 1|Level 2|Level 3|Level 4|Level 5,"The MATH (Mathematics) benchmark is designed to evaluate the mathematical reasoning abilities of AI models through a variety of problem types, including arithmetic, algebra, geometry, and more."
conll2003,CoNLL2003,extraordinarylab/conll2003,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The ConLL-2003 dataset is for the Named Entity Recognition (NER) task. It was introduced as part of the ConLL-2003 Shared Task conference and contains texts annotated with entities such as people, organizations, places, and various names."
conllpp,CoNLL++,extraordinarylab/conllpp,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,The CoNLL++ dataset is a corrected and cleaner version of the test set from the widely-used CoNLL2003 NER benchmark.
copious,Copious,extraordinarylab/copious,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"Copious corpus is a gold standard corpus that covers a wide range of biodiversity entities, consisting of 668 documents downloaded from the Biodiversity Heritage Library with over 26K sentences and more than 28K entities."
cross_ner,CrossNER,extraordinarylab/cross-ner,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,ai|literature|music|politics|science,"CrossNER is a fully-labelled collected of named entity recognition (NER) data spanning over five diverse domains (AI, Literature, Music, Politics, Science)."
csl,,./data/FewCLUE/csl/dev_few_all.json,OpenCompass,,,,
data_collection,Data-Collection,,EvalScope,Custom,acc,default,"Custom Data collection, mixing multiple evaluation datasets for a unified evaluation, aiming to use less data to achieve a more comprehensive assessment of the model's capabilities. [Usage Reference](https://evalscope.readthedocs.io/en/latest/advanced_guides/collection/index.html)"
docmath,DocMath,yale-nlp/DocMath-Eval,EvalScope,Reasoning|Math|LongContext,acc,complong_testmini|compshort_testmini|simplong_testmini|simpshort_testmini,DocMath-Eval is a comprehensive benchmark focused on numerical reasoning within specialized domains. It requires the model to comprehend long and specialized documents and perform numerical reasoning to answer the given question.
docvqa,DocVQA,lmms-lab/DocVQA,EvalScope,MultiModal|Knowledge|QA,anls,DocVQA,"DocVQA (Document Visual Question Answering) is a benchmark designed to evaluate AI systems on their ability to answer questions based on the content of document images, such as scanned pages, forms, or invoices. Unlike general visual question answering, it requires understanding not just the text extracted by OCR, but also the complex layout, structure, and visual elements of a document."
drivel_binary,DrivelologyBinaryClassification,extraordinarylab/drivel-hub,EvalScope,Yes/No,accuracy|precision|recall|f1_score|yes_ratio,binary-classification,"Drivelology, a unique linguistic phenomenon characterised as ""nonsense with depth"" - utterances that are syntactically coherent yet pragmatically paradoxical, emotionally loaded, or rhetorically subversive."
drivel_multilabel,DrivelologyMultilabelClassification,extraordinarylab/drivel-hub,EvalScope,MCQ,f1_weighted|f1_micro|f1_macro|exact_match,multi-label-classification,"Drivelology, a unique linguistic phenomenon characterised as ""nonsense with depth"" - utterances that are syntactically coherent yet pragmatically paradoxical, emotionally loaded, or rhetorically subversive."
drivel_selection,DrivelologyNarrativeSelection,extraordinarylab/drivel-hub,EvalScope,MCQ,acc,multiple-choice-english-easy|multiple-choice-english-hard,"Drivelology, a unique linguistic phenomenon characterised as ""nonsense with depth"" - utterances that are syntactically coherent yet pragmatically paradoxical, emotionally loaded, or rhetorically subversive."
drivel_writing,DrivelologyNarrativeWriting,extraordinarylab/drivel-hub,EvalScope,Knowledge|Reasoning,bert_score|gpt_score,narrative-writing-english,"Drivelology, a unique linguistic phenomenon characterised as ""nonsense with depth"" - utterances that are syntactically coherent yet pragmatically paradoxical, emotionally loaded, or rhetorically subversive."
drop,DROP,AI-ModelScope/DROP,EvalScope,Reasoning,em|f1,default,The DROP (Discrete Reasoning Over Paragraphs) benchmark is designed to evaluate the reading comprehension and reasoning capabilities of AI models. It includes a variety of tasks that require models to read passages and answer questions based on the content.
eprstmt,,./data/FewCLUE/eprstmt/dev_few_all.json,OpenCompass,,,,
eq_bench,EQ-Bench,evalscope/EQ-Bench,EvalScope,InstructionFollowing,eq_bench_score,default,EQ-Bench is a benchmark for evaluating language models on emotional intelligence tasks. It assesses the ability to predict the likely emotional responses of characters in dialogues by rating the intensity of possible emotional responses. [Paper](https://arxiv.org/abs/2312.06281) | [Homepage](https://eqbench.com/)
evalmuse,EvalMuse,AI-ModelScope/T2V-Eval-Prompts,EvalScope,TextToImage,FGA_BLIP2Score,EvalMuse,EvalMuse Text-to-Image Benchmark. Used for evaluating the quality and semantic alignment of finely generated images
fin_ner,FinNER,extraordinarylab/fin-ner,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The FinNER dataset is a corpus of financial agreements from public U.S. Security and Exchange Commission (SEC) filings, annotated with Person, Organization, Location, and Miscellaneous entities to support information extraction for credit risk assessment."
fleurs,FLEURS,lmms-lab/fleurs,EvalScope,Audio|MultiLingual|SpeechRecognition,wer,cmn_hans_cn|en_us|yue_hant_hk,"FLEURS is a massively multilingual benchmark with 102 languages for evaluating ASR, spoken language understanding, and speech translation"
frames,FRAMES,iic/frames,EvalScope,Reasoning|LongContext,acc,default,"FRAMES is a comprehensive evaluation dataset designed to test the capabilities of Retrieval-Augmented Generation (RAG) systems across factuality, retrieval accuracy, and reasoning."
gedit,GEdit-Bench,stepfun-ai/GEdit-Bench,EvalScope,ImageEditing,Semantic Consistency|Perceptual Similarity,background_change|color_alter|material_alter|motion_change|ps_human|style_change|subject-add|subject-remove|subject-replace|text_change|tone_transfer,"GEdit-Bench Image Editing Benchmark, grounded in real-world usages is developed to support more authentic and comprehensive evaluation of image editing models."
genai_bench,GenAI-Bench,AI-ModelScope/T2V-Eval-Prompts,EvalScope,TextToImage,VQAScore,GenAI-Bench-1600,GenAI-Bench Text-to-Image Benchmark. Includes 1600 prompts for text-to-image task.
general_arena,GeneralArena,general_arena,EvalScope,Custom|Arena,winrate,default,"GeneralArena is a custom benchmark designed to evaluate the performance of large language models in a competitive setting, where models are pitted against each other in custom tasks to determine their relative strengths and weaknesses. You should provide the model outputs in the format of a list of dictionaries, where each dictionary contains the model name and its report path. For detailed instructions on how to use this benchmark, please refer to the [Arena User Guide](https://evalscope.readthedocs.io/en/latest/user_guides/arena.html)."
general_fc,General-FunctionCalling,evalscope/GeneralFunctionCall-Test,EvalScope,FunctionCalling|Custom|Agent,count_finish_reason_tool_call|count_successful_tool_call|schema_accuracy|tool_call_f1,default,"A general function calling dataset for custom evaluation. For detailed instructions on how to use this benchmark, please refer to the [User Guide](https://evalscope.readthedocs.io/en/latest/advanced_guides/custom_dataset/llm.html#fc)."
general_mcq,General-MCQ,general_mcq,EvalScope,MCQ|Custom,acc,default,"A general multiple-choice question answering dataset for custom evaluation. For detailed instructions on how to use this benchmark, please refer to the [User Guide](https://evalscope.readthedocs.io/en/latest/advanced_guides/custom_dataset/llm.html#mcq)."
general_qa,General-QA,general_qa,EvalScope,QA|Custom,BLEU|Rouge,default,"A general question answering dataset for custom evaluation. For detailed instructions on how to use this benchmark, please refer to the [User Guide](https://evalscope.readthedocs.io/en/latest/advanced_guides/custom_dataset/llm.html#qa)."
general_t2i,general_t2i,general_t2i,EvalScope,TextToImage|Custom,PickScore,default,General Text-to-Image Benchmark
general_vmcq,General-VMCQ,general_vmcq,EvalScope,MCQ|Custom|MultiModal,acc,default,"A general visual multiple-choice question answering dataset for custom multimodal evaluation. Format similar to MMMU, not OpenAI message format. Images are plain strings (local/remote path or base64 data URL). For detailed instructions on how to use this benchmark, please refer to the [User Guide](https://evalscope.readthedocs.io/en/latest/advanced_guides/custom_dataset/vlm.html)."
general_vqa,General-VQA,general_vqa,EvalScope,QA|Custom|MultiModal,BLEU|Rouge,default,"A general visual question answering dataset for custom multimodal evaluation. Supports OpenAI-compatible message format with images (local paths or base64). For detailed instructions, please refer to the [User Guide](https://evalscope.readthedocs.io/en/latest/advanced_guides/custom_dataset/vlm.html)."
genia_ner,GeniaNER,extraordinarylab/genia-ner,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"GeniaNER consisting of 2,000 MEDLINE abstracts has been released with more than 400,000 words and almost 100,000 annotations for biological terms."
gpqa_diamond,GPQA-Diamond,AI-ModelScope/gpqa_diamond,EvalScope,Knowledge|MCQ,acc,default,GPQA is a dataset for evaluating the reasoning ability of large language models (LLMs) on complex mathematical problems. It contains questions that require step-by-step reasoning to arrive at the correct answer.
gsm8k,GSM8K,AI-ModelScope/gsm8k,EvalScope|OpenCompass,Math|Reasoning,acc,main,"GSM8K (Grade School Math 8K) is a dataset of grade school math problems, designed to evaluate the mathematical reasoning abilities of AI models."
gsm8k_v,GSM8K-V,evalscope/GSM8K-V,EvalScope,Math|Reasoning|MultiModal,acc,default,"GSM8K-V is a purely visual multi-image mathematical reasoning benchmark that systematically maps each GSM8K math word problem into its visual counterpart to enable a clean, within-item comparison across modalities."
hallusion_bench,HallusionBench,lmms-lab/HallusionBench,EvalScope,MultiModal|Hallucination|Yes/No,aAcc|qAcc|fAcc,default,"HallusionBench is an advanced diagnostic benchmark designed to evaluate image-context reasoning, analyze models' tendencies for language hallucination and visual illusion in large vision-language models (LVLMs)."
halueval,HaluEval,evalscope/HaluEval,EvalScope,Knowledge|Hallucination|Yes/No,accuracy|precision|recall|f1_score|yes_ratio,dialogue_samples|qa_samples|summarization_samples,HaluEval is a large collection of generated and human-annotated hallucinated samples for evaluating the performance of LLMs in recognizing hallucination.
harvey_ner,HarveyNER,extraordinarylab/harvey-ner,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,HarveyNER is a dataset with fine-grained locations annotated in tweets. This dataset presents unique challenges and characterizes many complex and long location mentions in informal descriptions.
health_bench,HealthBench,openai-mirror/healthbench,EvalScope,Knowledge|QA|Medical,communication_quality|instruction_following|accuracy|context_awareness|completeness,emergency_referrals|communication|complex_responses|hedging|health_data_tasks|global_health|context_seeking,"HealthBench: a new benchmark designed to better measure capabilities of AI systems for health. Built in partnership with 262 physicians who have practiced in 60 countries, HealthBench includes 5,000 realistic health conversations, each with a custom physician-created rubric to grade model responses."
hellaswag,HellaSwag,evalscope/hellaswag,EvalScope|OpenCompass,Commonsense|MCQ|Knowledge,acc,default,HellaSwag is a benchmark for commonsense reasoning in natural language understanding tasks. It consists of multiple-choice questions where the model must select the most plausible continuation of a given context.
hle,Humanity's-Last-Exam,cais/hle,EvalScope,Knowledge|QA,acc,Biology/Medicine|Chemistry|Computer Science/AI|Engineering|Humanities/Social Science|Math|Physics|Other,"Humanity's Last Exam (HLE) is a language model benchmark consisting of 2,500 questions across a broad range of subjects. It was created jointly by the Center for AI Safety and Scale AI. The benchmark classifies the questions into the following broad subjects: mathematics (41%), physics (9%), biology/medicine (11%), humanities/social science (9%), computer science/artificial intelligence (10%), engineering (4%), chemistry (7%), and other (9%). Around 14% of the questions require the ability to understand both text and images, i.e., multi-modality. 24% of the questions are multiple-choice; the rest are short-answer, exact-match questions. 
**To evaluate the performance of model without multi-modality capabilities, please set the `extra_params[""include_multi_modal""]` to `False`.**"
hpdv2,HPD-v2,AI-ModelScope/T2V-Eval-Prompts,EvalScope,TextToImage,HPSv2.1Score,HPDv2,"HPDv2 Text-to-Image Benchmark. Evaluation metrics based on human preferences, trained on the Human Preference Dataset (HPD v2)"
humaneval,HumanEval,opencompass/humaneval,EvalScope|OpenCompass,Coding,acc,openai_humaneval,"HumanEval is a benchmark for evaluating the ability of code generation models to write Python functions based on given specifications. It consists of programming tasks with a defined input-output behavior. **By default the code is executed in local environment. We recommend using sandbox execution to safely run and evaluate the generated code, please refer to the [documentation](https://evalscope.readthedocs.io/en/latest/user_guides/sandbox.html) for more details.**"
humaneval_plus,HumanEvalPlus,evalscope/humanevalplus,EvalScope,Coding,acc,default,"HumanEval Plus is a rigorous extension of OpenAI's original HumanEval dataset, designed to address the high false-positive rates found in code generation benchmarks. While the original HumanEval uses a limited number of test cases per problem, HumanEval+ augments these with tens of thousands of automatically generated inputs (using LLM-based and mutation-based strategies). This massively expanded test suite exposes edge-case bugs and functional errors that previously went undetected, making it a much stricter and more accurate standard for evaluating the correctness of AI-generated code.
**By default the code is executed in local environment. We recommend using sandbox execution to safely run and evaluate the generated code, please refer to the [documentation](https://evalscope.readthedocs.io/en/latest/user_guides/sandbox.html) for more details.**'
"
ifbench,IFBench,allenai/IFBench_test,EvalScope,InstructionFollowing,prompt_level_strict|inst_level_strict|prompt_level_loose|inst_level_loose,default,"IFBench is a new benchmark designed to evaluate how reliably AI models follow novel, challenging, and diverse verifiable instructions, with a strong focus on out-of-domain generalization. It comprises 58 manually curated verifiable constraints across categories such as counting, formatting, and word usage, aiming to address overfitting and data contamination issues present in existing benchmarks. Developed by AllenAI, IFBench serves as a rigorous test for precise instruction-following capabilities."
ifeval,IFEval,opencompass/ifeval,EvalScope,InstructionFollowing,prompt_level_strict|inst_level_strict|prompt_level_loose|inst_level_loose,default,"IFEval is a benchmark for evaluating instruction-following language models, focusing on their ability to understand and respond to various prompts. It includes a diverse set of tasks and metrics to assess model performance comprehensively."
infovqa,InfoVQA,lmms-lab/DocVQA,EvalScope,MultiModal|Knowledge|QA,anls,InfographicVQA,"InfoVQA (Information Visual Question Answering) is a benchmark designed to evaluate how well AI models can answer questions based on information-dense images, such as charts, graphs, diagrams, maps, and infographics."
iquiz,IQuiz,AI-ModelScope/IQuiz,EvalScope,Knowledge|MCQ|Chinese,acc,IQ|EQ,IQuiz is a benchmark for evaluating AI models on IQ and EQ questions. It consists of multiple-choice questions where the model must select the correct answer and provide an explanation.
jnlpba,JNLPBA,extraordinarylab/jnlpba,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The JNLPBA dataset is a widely-used resource for bio-entity recognition, consisting of 2,404 MEDLINE abstracts from the GENIA corpus annotated for five key molecular biology entity types."
jnlpba_rare,JNLPBA-Rare,extraordinarylab/jnlpba-rare,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The JNLPBA-Rare dataset is a specialized subset of the JNLPBA test set created to evaluate zero-shot performance on its least frequent entity types, RNA and cell line."
lambada,,opencompass/lambada,OpenCompass,,,,
